name,username,email,password,mobile,address,lon,lat,commercial_register,logo,status,subscription_begin_date,subscription_end_date,subscription_status
صالون النجمات (Stars Salon),salon1,salon1@example.com,qSnjvUKi,506627697,الطائف,25.2939,47.2724,CR1000,logo1.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الجمال (Queen Salon),salon2,salon2@example.com,NGVGFpUY,509680956,بريدة,25.3881,47.2555,CR1001,logo2.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الملكة (Flowers Salon),salon3,salon3@example.com,MHvguPIz,505041101,الطائف,25.0675,46.7787,CR1002,logo3.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الفخامة (Stars Salon),salon4,salon4@example.com,tnUqdtLW,504656382,تبوك,24.5826,47.2564,CR1003,logo4.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون العروس (Luxury Salon),salon5,salon5@example.com,lODYHUPP,508253678,المدينة,25.1828,46.5659,CR1004,logo5.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الأميرة (Stars Salon),salon6,salon6@example.com,lVJaPgcQ,509628816,تبوك,25.039,46.7686,CR1005,logo6.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الفخامة (Luxury Salon),salon7,salon7@example.com,eoSQibSD,503273538,الطائف,24.6797,46.9079,CR1006,logo7.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Bride Salon),salon8,salon8@example.com,FlSnwGMU,508288091,الدمام,24.5308,47.0678,CR1007,logo8.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Queen Salon),salon9,salon9@example.com,jylucyRO,505086083,مكة,25.2406,47.1342,CR1008,logo9.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الجمال (Stars Salon),salon10,salon10@example.com,pWNuwRCf,508918135,تبوك,25.016,46.7753,CR1009,logo10.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الأميرة (Beauty Salon),salon11,salon11@example.com,OPwffsLv,504735450,الدمام,24.784,46.9727,CR1010,logo11.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Majesty Salon),salon12,salon12@example.com,IUjuzNpC,508752424,المدينة,24.8001,47.3766,CR1011,logo12.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Beauty Salon),salon13,salon13@example.com,vEAvwnpt,503913865,الخبر,25.1357,47.4563,CR1012,logo13.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الأميرة (Stars Salon),salon14,salon14@example.com,iGvlVjQh,503328543,بريدة,24.9097,47.3312,CR1013,logo14.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Luxury Salon),salon15,salon15@example.com,oWhlIRDd,501150042,بريدة,25.0989,46.8185,CR1014,logo15.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
صالون الرقي (Flowers Salon),salon16,salon16@example.com,tlkBLQBj,507533103,الدمام,24.6375,47.2261,CR1015,logo16.png,تحت المراجعة,7/1/2023,7/1/2024,تحت المراجعة
